ID	Name	Title	Model	Kind	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	ShopTemplateID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	ShopOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeLowLimit1	ReputeHighLimit1	ReputeID2	ReputeValue2	ReputeLowLimit2	ReputeHighLimit2	ReputeID3	ReputeValue3	ReputeLowLimit3	ReputeHighLimit3	ReputeID4	ReputeValue4	ReputeLowLimit4	ReputeHighLimit4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	IsRandomDailyQuest	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillInterval6	SkillInterval7	SkillInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	HasGameCardSale	GameCardSaleOptionText	GameCardTradeRequireReputeLevel	HasGameCardBuy	GameCardBuyOptionText
1509	宁素心	阿里曼狂热者		3	26				43			35	3				240	3343			3009					22	9450					154	304	304	304	304	304	1290	43	43	43	43		1509	21	70	36	70	36	28	1	28			18	10	688	9	120	7	500	20	8																										626										1		66	395	734003	洛道			0	0			<G>本教传自波斯，不过我从未到过那里。	100															35	4		4	38	-8													0	9000									15							3	43	278																																																			26				0											
1510	司马杏	阿里曼狂热者		3	26				44			35	4				120	5726			5153					22	9450					157	310	310	310	310	310	1320	44	44	44	44		1510	21	187	93	187	93	28	1	28			18	10	688	9	120	7	500	20	8																										626										1		80	485	734003	洛道			0	0			<G>我们洛道分坛遭遇突然进攻，或许是出了叛教者！	100															36	8	4	4	38	-80													0	9000									15							6	44	333																																																			26				20											
1511	阿里曼忠实者	圣宣门			38			187	43	2		35	3				240	3343			3009					22						154	304	304	304	304	304	1290	43	43	43	43		1511	13	70	36	70	36	28	1	28			18	10	688	9	120	7	500	20	8																		MapDrop\luodao_MapDrop.tab	1							626										1		66	395	734003	洛道							<G>信仰大神的人会得到保佑。	100															35	4		4	38	-8													0	9000									6							3	43	278					473																																														38				0											
1512	阿里曼忠实者	圣宣门			38			187	43	2		35	3				240	3343			3009					22						154	304	304	304	304	304	1290	43	43	43	43		1512	13	70	36	70	36	28	1	28			18	10	688	9	120	7	500	20	8																		MapDrop\luodao_MapDrop.tab	1							626										1		66	395	734003	洛道							<G>你信神么？	100	<G>昨天睡的不太好，身子好乏……	100													35	4		4	38	-8													0	9000									6							3	43	278					473																																														38				0											
1513	黄牛			3	26		8				450	94	3				20	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		1513	13	20	10	20	10	28	1	36			26	10	617	1	240	2	512	26	8																										540										1		0	0	0	洛道			0	0																																					0	9000									1							3	1	78																																																			26				0											
1514	被偷的牛	杂货		3	26		8				450	94	3				20	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		1514	21	20	10	20	10	28	1	36			26	10	617	1	240	2	512	26	8																										541										1	81	0	0	0	洛道			0	0			<G><F174 水牛看起来很烦躁，对着你扬了扬蹄子。>	100	<G>哞哞哞哞……	100										杂货店																					0	9000									1							3	1	78																																																			26				0											
1515	骁果营精锐弓手			2	71	1	1	0	68	2	950	45		1	1		180	5598	0	0	5038	0	0	100	6	22	9000	0	0	0	0	231	465	465	465	465	465	2040	68	68	68	68	0	1515	1	135	67	135	67	28	1	34	1	1024	24	10	666	1	80	1	1024	23	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20	瞿塘峡\meinvtu.tab	1	瞿塘峡\recipe_renxing.tab	1		0		0	5110	0	0	0	0	0	0	0	0	0	1	0	175	1052	838860	瞿塘峡敌对	0	0	1	1	0	0		0		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	0	3	68	350	0																																																		71				0											
1516	凶恶的僵尸				39		4	290	37	1		27	3				240	2798			2518					22						135	265	265	265	265	265	1110	37	37	37	37		1516	13	61	30	61	30	28	1	21			11	10	680	8	160	1	512	11	8																		MapDrop\luodao_MapDrop.tab	1							754										1		55	327	734003	洛道																																									0	9000									7							3	37	270																																																			39				0											
1517	江津村民兵			3	27				38			28	4				30	6435			5792				11	22						138	272	272	272	272	272	1140	38	38	38	38		1517	15	542	272	542	272	28	1	39			29	10																																	259										1		93	563	734003	洛道							<G>僵尸不除，江津村必将遭难。	100	<G>这等害人精，我等尽当全力斩除！	100																															0	9000									5							4	38	451																																																			27				20											
1518	鱼木寨守舵打手	鱼木寨		2	28	1	1	0	68	2	950	45		1	1		180	5598	0	0	5038	0	0	100	6	22	9000	0	0	0	0	231	465	465	465	465	465	2040	68	68	68	68	0	1518	1	139	69	139	69	28	1	35	1	1024	25	10	664	14	32	1	512	12	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20	瞿塘峡\meinvtu.tab	1	瞿塘峡\yaoshi.tab	1	瞿塘峡\recipe_renxing.tab	1		0	5111	5134	0	0	0	0	0	0	0	0	1	0	175	1052	838860	瞿塘峡敌对	0	0	1	1	0	0		0		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	0		68	350	0																																																		28				0											
1519	傀儡尸				39		4	290	35	1	600	27	3				240	2619			2357					22						129	253	253	253	253	253	1050	35	35	35	35		1519	15	58	28	58	28	28	1	21			11	10	619	8	240	2	512	11	8																		MapDrop\luodao_MapDrop.tab	1							756										1		51	307	734003	洛道																																									0	9000									7							3	35	267																																																			39				0											
1520	骁果营队正			2	28	1	1	0	70	0	950	45	4	1	1		45	9634	0	0	8671	0	0	100	6	22	9000	0	0	0	0	237	478	478	478	478	478	2100	70	70	70	70	0	1520	1	318	158	318	158	28	1	33	1	1024	23	10	664	15	32	1	512	13	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20	瞿塘峡\meinvtu.tab	1	瞿塘峡\recipe_renxing.tab	1		0		0	5112	0	0	0	0	0	0	0	0	0	1	0	226	1354	838860	瞿塘峡敌对	0	0	1	1	0	0	<G>你说，咱们要是真的夺了天下……那么多美女……可要老子怎么办哦……哎……	100		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	0	6	70	428	0																																																		28				20											
1521	毒蛇营女兵	叛军		3	40			295	38	2		30	3				240	2888			2599					22	9450					138	272	272	272	272	272	1140	38	38	38	38	65	1521	14	64	33	64	33	28	1	33			23	10	623	8	240	2	512	15	8																		MapDrop\luodao_MapDrop.tab	1							757										1		56	338	734003	洛道			0	0																																					0	9000									6							3	38	271																																																			40				0											
1522	毒蛇营蛮兵	叛军		3	40			295	38	1		35	3				240	2888			2599					22	9450					138	272	272	272	272	272	1140	38	38	38	38	66	1522	14	62	32	62	32	28	1	24			14	10	655	8	160	1	512	14	8																		MapDrop\luodao_MapDrop.tab	1							758										1		56	338	734003	洛道			0	0																																					0	9000									6							3	38	271																																																			40				0											
1523	江津村箭手			3	27				37			26	4				30	6235			5611				11	22						135	265	265	265	265	265	1110	37	37	37	37		1523	15	432	216	432	216	5120	1	19			13	10	28	1																															265										1		91	545	734003	洛道							<G>这些弓箭是从那些乱军手上抢来的！	100																																	0	9000									5							4	37	450																																																			27				20											
1524	不被操纵的毒尸				39		4	290	39			43	4				60	4965			4468					22						141	278	278	278	278	278	1170	39	39	39	39		1524	14	163	82	163	82	28	1	24			14	10																																	759										1		69	415	734003	洛道																																									0	9000									8							6	39	323																																																			39				20											
1525	奄奄一息的人	叛军		3	26				30			70	3				120	1596			1436					22	9450					113	220	220	220	220	220	900	30	30	30	30		1525	21	50	24	50	24	28	1	24																																					676										1		43	259	629145	洛道			0	0			<G>那个僵尸太危险了……他会把我们都杀了……	100					<G>他已经死了。	1437																											0	9000									1							3	30	257																																																			26				0											
1526	彦曾			3	35				32			26	3				120	2039			1835					22	9450					119	233	233	233	233	233	960	32	32	32	32		1526	21	53	26	53	26	28	1	23			13	10																																	760										1		46	277	734003	洛道			0	0			<G>天凉了，回去让我婆娘缝几件袍子。	100																																	0	9000									1							3	32	261																																																			35				0											
1527	周蒙			3	35				31			29	3				120	1811			1630					22	9450					116	227	227	227	227	227	930	31	31	31	31		1527	21	51	26	51	26	28	1	28			18	10																																	761										1		45	268	734003	洛道			0	0			<G>都是月亮惹得祸，这是我拿手的歌。	100																																	0	9000									1							3	31	259																																																			35				0											
1528	幽梦随			3	26				25		500	28	3				180	1157			1042					22	9450					98	166	166	166	166	166	355	25	25	25	25		1528	21	42	20	42	20	28	1	28			18	10	697	6	80	1	512	14	8																										267										1		29	173	629145	少林							<G>发丘印，摸金符，搬山卸岭寻龙诀；人点烛，鬼吹灯，堪舆倒斗觅星峰。	1000	<G>水银斑，养明器，龙楼宝殿去无数；窨沉棺，青铜椁，八字不硬莫近前。	1000																															0	9000									1							3	25	242																																																			26				0											
1529	戚云			3	35				31			21	3				120	1811			1630					22	9450					116	227	227	227	227	227	930	31	31	31	31		1529	21	51	26	51	26	28	1	24			14	10																																	762										1		45	268	734003	洛道			0	0			<G>洛道的天气，这两日凉得厉害。	100																																	0	9000									1							3	31	259																																																			35				0											
1530	武三权			3	35				30			47	3				120	1596			1436					22	9450					113	220	220	220	220	220	900	30	30	30	30		1530	21	56	28	56	28	28	1	36			26	10																																	763										1		43	259	629145	洛道			0	0			<G>我们会取胜吧。	100																																	0	9000									1							3	30	257																																																			35				0											
1531	李守城			3	35				31			30	3				120	1031			2651					22	9450					153	346					1073						1531	21	31	15			28	1	27			17	10																																	764										1		45	268	734003	洛道			0	0	1		<G>我在这里埋伏很久了。	200																																	0										1							3	31	259																																																			35				0											
1532	恶人谷守卫尸体			4	37	1	1	0	65	0	950	45	4	0	0		180	11867	0	0	10680	0	0	100	6	22	9000	0	0	0	0	222	446	446	446	446	446	1950	65	65	65	65	0	1532	1	898	450	898	450	28	1	36	1	1024	26	10	696	14	32	8	102400	12	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	4203	0	0	0	0	0	0	0	0	0		0	260	1558	838860	恶人谷	0	0	1	1	0	0		100		100		100											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	200		3840	0	0	0	0	0	0	0	15	0	0	1	0	0	0	4	65	561																																																			37				20											
1533	王银			3	26				30		1200	73	3				180	1596			1436					22	9450					113	220	220	220	220	220	900	30	30	30	30	100	1533	21	56	28	56	28	28	1	36			26	10																																	276										1		43	259	629145	少林							<G>人家都说少林是个宝地，可是我怎么啥都挖不出来呢。	1000																																	0	9000									1							3	30	257																																																			26				0											
1534	郑玉贤			3	35				35			28	3				80	2619			2357					22	9450					129	253	253	253	253	253	1050	35	35	35	35		1534	21	70	35	70	35	28	1	39			29	10																																	259										1		51	307	734003	洛道			0	0			<G>昨晚心惊肉跳，不知近日有什么祸事临头。	100																																	0	9000									1							3	35	267																																																			35				0											
1535	诸葛朔望			3	26				30			36	3				180	1596			1436					22	9450					113	220	220	220	220	220	900	30	30	30	30		1535	21	54	27	54	27	28	1	35			25	10																																	278										1		43	259	629145	少林							<G>我素来对少林倍有好感，可惜我女儿身，不能与大师们一起参禅学法。	1000																																	0	9000									1							3	30	257																																																			26				0											
1536	神机箭玩家发射			2	28	1	1	0	1	0	950	45	3	0	0		0	51	0	0	45	0	0	100	6	0	9000	0	0	0	0	1	12	12	12	12	12	0	1	1	1	1	0	1536	1	24	11	24	11	28	1	43	1	1024	33	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	99999999	0	20		0		0		0		0	4681	0	0	0	0	0	0	0	0	0	1	0	0	2	629145	英雄北邙山三才阵	0	0	1	1	0	0		0		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	-1	0	0	0	0	0	0	0		0	0	1	0	0	0	3	1	0	0			0																																															28															
1537	张紫云	阿里曼忠实者		3	35				41			31	3				120	3160			2844					22	9450					147	291	291	291	291	291	1230	41	41	41	41		1537	21	82	41	82	41	28	1	39			29	10	617	9	240	2	512	26	8																										605										1		62	372	734003	洛道			0	0			<G>听说有些地界大雪封路，连青菜都涨到三两纹银一捆了……	100																			38		-8												0	9000									1							3	41	275																																																			35				0											
1538	金牙苏				31			183	26			27	4				180	2121			1909					22						101	176	176	176	176	176	448	26	26	26	26		1538	21	108	53	108	53	28	1	37			27	10	5008	7	160		768																												546										1		36	222	629145	少林																																									0	9000									1							6	26	291																																																			31				20											
1539	云夜心			2	26	1	1	0	1	0	950	28	3	1	1		180	51	0	0	45	0	0	100	6	22	9000	0	0	0	0	1	12	12	12	12	12	0	1	1	1	1	0	1539	1	20	10	20	10	28	1	36	1	1024	26	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5113	0	0	0	0	0	0	0	0	0	1	0	0	2	629145	瞿塘峡	0	0	1	1	0	0	<G>雨大哥……我从前还见过的……\n<H28><G>可怜他被恶人谷的魔女引诱了……	100		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	0	0	3	1	78	-1			0		7	0																																												26				0											
1540	银牙炳				31			183	26		950	27	4				180	2121			1909					22						101	176	176	176	176	176	448	26	26	26	26		1540	21	102	51	102	51	28	1	35			25	10			32							32							32																16										1		36	222	629145	少林																																									0	9000									1							6	26	291																																																			31				20											
1541	留萌滨卫兵			3	41			302	47		980	35	3				240	3043			3463					22						157	359	359	359	359	359	1103	47	47	47	47		1541	13	101	50	101	50	28	1	35			25	10	623	10	240	2	512	25	8																		寇岛\cangbaotu.tab	1							675										1		74	446	734003	寇岛				3		22	<G>兄弟，听说那中原的花姑娘大大地漂亮！什么时候一起去……嘿嘿。	100	<G>传说木村田中是在田边出生的，嘿嘿——他都死了，怕什么！	100							scripts\Map\寇岛\npc\留萌滨卫兵.lua						34	4	0	4															0	9000									7							3	47	284					470																																														41				0											
1542	云醉川	川南玉豹		2	26	1	1	0	67	0	950	28		1	1		180	5507	0	0	4956	0	0	100	6	22	9000	0	0	0	0	228	458	458	458	458	458	2010	67	67	67	67	0	1542	1	125	62	125	62	28	1	25	1	1024	15	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5117	0	0	0	0	0	0	0	0	0	1	0	169	1011	838860	瞿塘峡	0	0	1	1	0	0	<G>大丈夫不可黑白不分！雨卓承勾结魔女，怎能让他逍遥自在！	100		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	0	0	3	67	346	-1			0		7	0																																												26				0											
1543	姬冰竹	飞凤笔		2	26	1	1	0	64	0	950	28		1	1		180	5235	0	0	4711	0	0	100	6	22	9000	0	0	0	0	219	439	439	439	439	439	1920	64	64	64	64	0	1543	1	131	65	131	65	28	1	35	1	1024	25	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5115	0	0	0	0	0	0	0	0	0	1	0	150	899	838860	瞿塘峡	0	0	1	1	0	0	<G>这些年来，从未听说楚霞影有作恶之事，只因她是陶寒亭养女，江湖中人便如此对她，我心中终是有些不明。	100		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	0	0	3	64	332	-1			0		7	0	-1	0	0																																									26				0											
1544	呆立的一刀流忍者			3	26			156	46	1	980	33	3				180	2970			3380					22						154	352	352	352	352	352	1080	46	46	46	46		1544	21	90	45	90	45	28	1	26			16	10	667	10	80	1	512	13	8																		寇岛\cangbaotu.tab	1							768										1		72	433	734003	寇岛				3																																					0	9000									1							3	46	283																																																			26				0											
1545	吴承阳			3	35				35			70	3				120	2619			2357					22	9450					129	253	253	253	253	253	1050	35	35	35	35		1545	21	58	28	58	28	28	1	24																																					826										1		51	307	734003	洛道			0	0			<G><F174 他很平静的趴在那里。>	100																																	0	9000									1							3	35	267																																																			35				0											
1546	神机弩箭			2	28	1	1	0	70	0	950	45		0	0		0	5780	0	0	5202	0	0	100	6	0	9000	0	0	0	0	237	478	478	478	478	478	2100	70	70	70	70	0	1546	1	175	88	175	88	28	1	43			33	10	1131	15		2																		99999999	0			0		0		0		0	4681				0	0	0	0	0	0	1	0	190	1138	838860	英雄北邙山三才阵	0	0	1	1	0			0		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	-1	0	0	0	0	0	0	0	5	3071	0	1	0	0	0	3	70	360	0			0																																															28															
1547	道远	罗汉堂弟子		3	11				18		650	28	3				180	746			672					22	9450					54	104	104	104	104	104	0	18	18	18	18		1547	21	42	21	42	21	28	1	44			34	10																																	408										1		16	97	629145	少林							<G>那些盗墓贼真不知他们有何目的！	1000															11	-5000																	0	9000									1							3	18	212																																																			11				0											
1548	知客僧	菩提院弟子		3	11				15			28	3				180	508			457					22	9450					39	81	81	81	81	81	0	15	15	15	15		1548	21	26	12	26	12	28	1	30			20	10																																	443										1		12	73	629145	少林							<G>施主，请随我来。																11	-10000																	0	9000									1							3	15	188																																																			11				0											
1549	红衣中毒AOE释放者				26		0		1		950	1	3	0	0		180	51			45					22						1	12	12	12	12	12	0	1	1	1	1		1549		18	8	18	8			32							32							32							32																290										1		0	0	0	洛道																											38		-8												0	9000								0	1							3	1	78																																																			26				0											
1550	唐九洋			3	17				70			29	3				180	4740			5395					22	9450					225	520	520	520	520	520	1643	70	70	70	70		1550	21	156	79	156	79	28	1	28			18	10			19																														554										1		190	1138	838860	寇岛				3			<G>想我唐门弟子，居然会被一句话困在此处。李复，你给我等着，终有一天我要你后悔你所做的一切！	100																																	0	9000									1							3	70	360																																																			17				0											
1551	特使保镖	日轮山城		3	41				48		900	35	1				240	20000			19000					22	9450					160	366	366	366	366	366	1127	48	48	48	48		1551	12	1070	1670	835	28	28	1	35			25	10	623	10	240	2	512	25	8																										623										1		19	114	734003	寇岛				3	1		<G>去去去，懂不懂规矩，叫你们老大过来！	1000									scripts\Map\寇岛\npc\特使保镖.lua																								0										6							1	48	71																																																			41															
1552	恶人谷小头目	恶人谷		2	49	1	1	269	66	0	950	28	4	1	1		120	9027	0	0	8124	0	0	100	6	22	9000	0	0	0	0	225	452	452	452	452	452	1980	66	66	66	66	0	1552	1	289	145	289	145	28	1	29	1	1024	19	10	664	14	32	1	512	13	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	3181	0	0	0	0	0	0	0	0	0	1	0	192	1157	838860	昆仑	0	0	1	1	0	0		0		0		0					scripts\Map\昆仑\npc\恶人谷小头目.lua						0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	0	6	66	405	-1			0		7	0	-1	0	0																																									49				20											
1553	向问天				35		0		7		950	27	3				180	104			94					22						11	35	35	35	35	35	0	7	7	7	7		1553	21	21	10	21	10	28	1	26	1	1024	16	10			32							32							32																296										1		0	0	0	洛道							<G>咳咳咳……	100																																	0	9000									1							3	7	126																																																			35				0											
1554	小野康夫			3	26			302	48		980	35	3				240	3115			3546					22						160	366	366	366	366	366	1127	48	48	48	48		1554	13	103	51	103	51	28	1	35			25	10	623	10	240	2	512	25	8																		寇岛\cangbaotu.tab	1							623										1		76	459	734003	寇岛				3		22	<G>总有一天我会成为主人赞许的武士。	100																																	0	9000																3	48	286																																																			26				0											
1555	大雄			3	41			302	48		980	35	3				60	3115			3546					22						160	366	366	366	366	366	1127	48	48	48	48		1555	11	103	51	103	51	28	1	35			25	10	623	10	240	2	512	25	8																		寇岛\cangbaotu.tab	1							2189										1		76	459	734003	寇岛				3		100	<G>这可是我费了八牛二虎之力把他抓住的！可不能让他跑了！\n<G>嘘～也别让上居滨这些人看见了！	100									scripts\Map\寇岛\npc\大雄.lua																								0	9000									5							3	48	286																																																			41				0											
1556	上居滨俘虏			3	37			302	47	1		39	3				180	3711			3339				22	22						166	330	330	330	330	330	1410	47	47	47	47	25	1556	21	77	38	77	38	28	1	32			22	10	656	10	160	1	512	12	8																		寇岛\cangbaotu.tab	1							612										1		74	446	734003	寇岛						100																	34	4	0	4															0	9000									1							3	47	284																																																			37				0											
1557	烟雾				35		0		1		950	6	3				180	51			45					22						1	12	12	12	12	12	0	1	1	1	1		1557	21	18	8	18	8			32							32							32							32																305										1		0	0	0	洛道																																									0	9000									1							3	1	78																																																			35				0											
1558	端木神雷	战场接引人		2	50	1	1	320	70	0	950	28	5	1	1		180	267854	0	0	241069	0	0	100	6	22	9000	0	0	0	0	237	478	478	478	478	478	2100	70	70	70	70	0	1558	1	6756	3379	6756	3379	28	1	31	1	1024	21	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5119	0	0	0	0	0	0	0	0	0	1	0	3298	19756	838860	浩气盟功能	0	0	1	1	0	0	<G>老夫我来盟中也有些时日了，最近经常看见新面孔啊，哈哈，年轻真好啊。	300		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	500	9500	3840	0	0	0	0	0	0	1	5	0	1	1	0	0	0	14	110	6250	-1			0		7	0	-1	0	0																																									50															
1559	快刀手赵钱孙	游击营队正			40			295	38			48	4				90	3947			4493					22						131	296	296	296	296	296	892	38	38	38	38	99	1559	13	190	96	190	96	28	1	27			17	10																																	770										1		66	402	734003	洛道				3																																					0	9000									7							6	38	322																																																			40				20											
1560	西门无月	战场接引人		2	50	1	1	320	70	0	950	28	5	1	1		180	190684	0	0	171616	0	0	100	6	22	9000	0	0	0	0	237	478	478	478	478	478	2100	70	70	70	70	0	1560	1	5184	2592	5184	2592	28	1	26	1	1024	16	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5120	0	0	0	0	0	0	0	0	0		0	3298	19756	838860	浩气盟功能	0	0	1	1	0	0	<G>这些日子随张先生学到不少。	300		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	500	9500	3840	0	0	0	0	0	0	1	5	0	1	1	0	0	0	14	70	6249	-1			0		7	0	-1	0	0																																									50															
1561	欧阳铁手	神农洇接引人		2	50	1	1	320	70	0	950	28	5	1	1		180	156361	0	0	177966	0	0	100	6	22	9000	0	0	0	0	225	520	520	520	520	520	1643	70	70	70	70	0	1561	1	6804	3402	6804	3402	28	1	35	1	1024	25	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5121	0	0	0	0	0	0	0	0	0		0	3298	19756	838860	浩气盟功能	0	0	1	3	0	0	<G>神农洇战事正酣，阁下可愿前往效命？	300		0		0					scripts\Map\神农洇\npc\神农洇浩气盟指引人.lua						0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	500	9500	3840	0	0	0	0	0	0	1	5	0	1	1	0	0	0	14	70	6249	-1			0		7	0	-1	0	0																																									50															
1562	肖番凡	游击营校尉			40			295	38			47	4				60	4814			4333					22						138	272	272	272	272	272	1140	38	38	38	38	73	1562	13	159	79	159	79	28	1	27			17	10																																	773										1		66	402	734003	洛道																																									0	9000									7							6	38	322																																																			40				20											
1563	桉林野狼				28		2	242	37	1		71	3				240	2938			0					22						138	240	240	240	240	240	977	17	17	17	17		1563	23	66	32	66	32	28	1	27			17	10																																	2856										362		0	0	0	洛道			2																																						0	9000									7							3	37	270																																																			28				0											
1564	云无伤	长空使者		2	50	1	1	320	70	0	950	28	5	1	1		180	267854	0	0	241069	0	0	100	6	22	9000	0	0	0	0	237	478	478	478	478	478	2100	70	70	70	70	0	1564	1	6756	3379	6756	3379	28	1	28	1	1024	18	10	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	5122	0	0	0	0	0	0	0	0	0		0	3298	19756	838860	浩气盟功能	0	0	1	1	0	0	<G>自古成就霸业之人没有几个可以安生，唉……	300		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	500	9500	3840	0	0	0	0	0	0	1	5	0	1	1	1440	1140	0	14	110	6250	-1			0		7	0	-1	0	0																																									50															
1565	卫长庚			3	35				73			48					120	6459			5813					22	9450					247	301	301	301	301	301	3478	73	73	73	73		1565	21	149	75	149	75	28	1	25			15	10																																	827												200	1140	838860	洛道				0			<G><F174 这个老人看来很慈祥，不像是做过恶事。>	100																																	0	9000									1							3	73	400																																																			35				0											
1566	纯阳猛虎				28		2	97	30			90					240	5000			2042					22						153	269	269	269	269	269	1073	67	67	67	67		1566	13	1500	1000	20	10	28	1	34			24	10	676	7	160	1	512	16	8																										44										350		0	0	0	纯阳			2	3	1																																				0	9450									7							3	30	257																																																			28				0											
